order_id,customer_id,order_date,region,product_id,sales,quantity,discount,shipping_cost,tax,profit,order_status,age,segment,income_level,category,sub_category
ORDER-13,CUST-33,2024-01-07 05:02:42.162162162,West,PROD-92,234.9,4,0.06,38.26,35.25,135.98,Delivered,20,Consumer,Low,Office Supplies,Binders
ORDER-14,CUST-169,2024-01-07 17:27:55.675675675,North,PROD-11,283.08,4,0.13,17.49,1.19,59.02,Delivered,47,Consumer,High,Office Supplies,Pens
ORDER-15,CUST-122,2024-01-08 05:53:09.189189189,South,PROD-45,431.71,5,0.01,17.67,27.21,82.29,Delivered,37,Home Office,High,Office Supplies,Pens
ORDER-16,CUST-141,2024-01-08 18:18:22.702702702,West,PROD-57,272.18,3,0.15,48.35,29.48,130.65,Delivered,39,Home Office,High,Furniture,Bookcases
ORDER-17,CUST-43,2024-01-09 06:43:36.216216216,East,PROD-84,100.39,1,0.39,5.46,3.88,-30.29,Pending,55,Consumer,Low,Furniture,Bookcases
ORDER-18,CUST-68,2024-01-09 19:08:49.729729729,East,PROD-33,156.8,8,0.26,37.22,22.19,-3.58,Shipped,63,Home Office,Low,Furniture,Chairs
ORDER-19,CUST-136,2024-01-10 07:34:03.243243243,West,PROD-96,161.87,5,0.17,36.78,5.95,91.78,Shipped,40,Consumer,Medium,Technology,Accessories
ORDER-20,CUST-156,2024-01-10 19:59:16.756756756,West,PROD-62,204.69,3,0.19,33.02,35.61,114.75,Delivered,23,Consumer,Medium,Office Supplies,Binders
ORDER-21,CUST-109,2024-01-11 08:24:30.270270270,West,PROD-28,219.13,7,0.0,49.55,17.52,121.41,Pending,65,Consumer,Low,Furniture,Chairs
ORDER-22,CUST-55,2024-01-11 20:49:43.783783783,South,PROD-26,401.89,7,0.15,19.03,5.06,33.02,Cancelled,64,Corporate,Medium,Office Supplies,Paper
ORDER-23,CUST-139,2024-01-12 09:14:57.297297297,West,PROD-69,181.2,1,0.32,20.3,6.1,-32.13,Shipped,42,Consumer,Medium,Office Supplies,Pens
ORDER-24,CUST-194,2024-01-12 21:40:10.810810810,South,PROD-35,239.43,9,0.49,8.55,15.82,37.56,Cancelled,46,Corporate,Medium,Furniture,Chairs
ORDER-25,CUST-187,2024-01-13 10:05:24.324324324,West,PROD-72,316.24,2,0.42,24.93,2.42,-3.85,Delivered,57,Home Office,High,Technology,Copiers
ORDER-26,CUST-177,2024-01-13 22:30:37.837837837,South,PROD-90,195.09,5,0.01,16.75,7.41,8.24,Cancelled,40,Corporate,Low,Furniture,Chairs
ORDER-27,CUST-52,2024-01-14 10:55:51.351351351,South,PROD-35,419.92,5,0.45,20.45,2.11,104.45,Delivered,47,Corporate,High,Office Supplies,Pens
ORDER-28,CUST-183,2024-01-14 23:21:04.864864865,North,PROD-18,297.85,8,0.39,42.56,1.19,-34.89,Cancelled,51,Home Office,Medium,Furniture,Chairs
ORDER-29,CUST-80,2024-01-15 11:46:18.378378378,East,PROD-14,154.08,8,0.39,47.1,8.17,115.52,Pending,69,Consumer,High,Technology,Phones
ORDER-30,CUST-103,2024-01-16 00:11:31.891891892,West,PROD-79,359.89,7,0.23,13.36,3.32,35.53,Delivered,43,Consumer,Medium,Office Supplies,Pens
ORDER-31,CUST-172,2024-01-16 12:36:45.405405405,East,PROD-95,268.55,7,0.2,21.76,1.62,69.21,Cancelled,36,Consumer,Low,Office Supplies,Paper
ORDER-32,CUST-167,2024-01-17 01:01:58.918918919,East,PROD-76,271.88,6,0.15,46.79,0.01,-32.07,Shipped,67,Consumer,Medium,Furniture,Tables
ORDER-33,CUST-96,2024-01-17 13:27:12.432432432,North,PROD-31,245.73,6,0.03,7.78,9.76,17.47,Pending,64,Consumer,Low,Furniture,Tables
ORDER-34,CUST-113,2024-01-18 01:52:25.945945946,East,PROD-32,253.54,9,0.11,9.16,4.88,-32.06,Delivered,43,Home Office,Medium,Furniture,Bookcases
ORDER-35,CUST-133,2024-01-18 14:17:39.459459459,East,PROD-7,385.02,6,0.12,12.33,6.81,142.31,Cancelled,51,Consumer,High,Furniture,Tables
ORDER-36,CUST-116,2024-01-19 02:42:52.972972973,West,PROD-86,60.46,2,0.24,31.78,7.76,111.45,Delivered,42,Home Office,Low,Office Supplies,Pens
ORDER-37,CUST-31,2024-01-19 15:08:06.486486486,South,PROD-68,173.84,2,0.37,11.77,4.97,41.93,Delivered,25,Corporate,Medium,Technology,Accessories
ORDER-38,CUST-64,2024-01-20 03:33:20.000000000,West,PROD-29,47.0,5,0.24,48.56,1.24,-5.28,Shipped,61,Consumer,Medium,Furniture,Tables
ORDER-39,CUST-58,2024-01-20 15:58:33.513513513,West,PROD-82,379.09,4,0.03,25.1,23.99,136.69,Pending,65,Consumer,Low,Furniture,Bookcases
ORDER-40,CUST-17,2024-01-21 04:23:47.027027027,East,PROD-30,143.43,2,0.48,27.57,25.38,18.92,Delivered,63,Consumer,Medium,Office Supplies,Pens
ORDER-41,CUST-87,2024-01-21 16:49:00.540540540,East,PROD-7,449.74,3,0.47,16.1,14.72,-17.8,Pending,42,Corporate,Medium,Furniture,Bookcases
ORDER-42,CUST-6,2024-01-22 05:14:14.054054054,West,PROD-13,268.02,7,0.39,26.19,4.1,62.63,Delivered,53,Consumer,Medium,Furniture,Tables
ORDER-43,CUST-151,2024-01-22 17:39:27.567567567,West,PROD-53,402.37,8,0.5,34.79,16.3,138.75,Cancelled,61,Home Office,Medium,Office Supplies,Pens
ORDER-44,CUST-142,2024-01-23 06:04:41.081081081,East,PROD-43,489.68,6,0.27,38.8,4.9,-49.23,Shipped,66,Consumer,Low,Furniture,Bookcases
ORDER-45,CUST-59,2024-01-23 18:29:54.594594594,South,PROD-92,421.5,5,0.48,38.92,1.09,-2.38,Delivered,36,Consumer,Medium,Furniture,Bookcases
ORDER-46,CUST-151,2024-01-24 06:55:08.108108108,South,PROD-61,434.83,1,0.04,31.01,14.49,137.69,Pending,61,Home Office,Medium,Furniture,Chairs
ORDER-47,CUST-57,2024-01-24 19:20:21.621621621,West,PROD-13,209.91,8,0.18,45.7,32.1,-15.78,Delivered,22,Consumer,High,Technology,Accessories
ORDER-48,CUST-2,2024-01-25 07:45:35.135135135,South,PROD-88,280.34,3,0.11,41.78,3.2,-27.35,Shipped,69,Home Office,High,Technology,Copiers
ORDER-49,CUST-19,2024-01-25 20:10:48.648648648,West,PROD-99,134.41,6,0.1,39.07,1.49,64.04,Delivered,19,Consumer,Medium,Technology,Accessories
ORDER-50,CUST-182,2024-01-26 08:36:02.162162162,North,PROD-18,106.1,3,0.07,7.5,49.31,122.37,Shipped,64,Consumer,Medium,Furniture,Bookcases
ORDER-51,CUST-162,2024-01-26 21:01:15.675675675,East,PROD-1,257.7,7,0.31,5.31,2.1,45.42,Delivered,52,Corporate,Medium,Furniture,Tables
ORDER-52,CUST-16,2024-01-27 09:26:29.189189189,West,PROD-71,301.57,7,0.39,14.56,1.88,148.91,Delivered,35,Consumer,Medium,Technology,Copiers
ORDER-53,CUST-59,2024-01-27 21:51:42.702702703,West,PROD-21,176.24,9,0.29,34.86,6.46,85.83,Shipped,36,Consumer,Medium,Furniture,Tables
ORDER-54,CUST-18,2024-01-28 10:16:56.216216216,West,PROD-53,289.03,5,0.07,23.5,1.91,-35.19,Delivered,35,Corporate,Medium,Office Supplies,Binders
ORDER-55,CUST-9,2024-01-28 22:42:09.729729730,South,PROD-84,444.86,8,0.41,23.11,19.31,148.57,Shipped,37,Corporate,Medium,Office Supplies,Paper
ORDER-56,CUST-85,2024-01-29 11:07:23.243243243,West,PROD-61,282.79,8,0.32,44.81,27.8,31.58,Delivered,20,Consumer,Medium,Furniture,Tables
ORDER-57,CUST-19,2024-01-29 23:32:36.756756757,North,PROD-62,363.2,1,0.19,45.3,4.41,7.48,Shipped,19,Consumer,Medium,Office Supplies,Pens
ORDER-58,CUST-132,2024-01-30 11:57:50.270270270,South,PROD-84,404.6,5,0.34,45.91,17.82,61.58,Delivered,45,Consumer,Medium,Furniture,Bookcases
ORDER-59,CUST-61,2024-01-31 00:23:03.783783784,East,PROD-26,494.48,3,0.13,19.12,4.22,10.86,Shipped,52,Consumer,Medium,Furniture,Tables
ORDER-60,CUST-72,2024-01-31 12:48:17.297297297,North,PROD-97,305.57,1,0.17,36.1,19.98,-32.71,Delivered,54,Consumer,Medium,Office Supplies,Paper
ORDER-61,CUST-172,2024-02-01 01:13:30.810810811,West,PROD-37,405.36,4,0.46,17.22,39.28,-49.71,Shipped,36,Consumer,Low,Technology,Phones
ORDER-62,CUST-125,2024-02-01 13:38:44.324324324,North,PROD-42,481.7,8,0.15,13.58,17.11,39.92,Delivered,63,Consumer,Medium,Furniture,Chairs
ORDER-63,CUST-55,2024-02-02 02:03:57.837837838,West,PROD-37,472.76,3,0.23,13.31,0.32,117.37,Shipped,64,Corporate,Medium,Furniture,Chairs
ORDER-64,CUST-139,2024-02-02 14:29:11.351351351,North,PROD-83,79.13,2,0.45,20.39,17.18,64.46,Delivered,42,Consumer,Medium,Furniture,Tables
ORDER-65,CUST-34,2024-02-03 02:54:24.864864865,South,PROD-8,209.13,9,0.35,24.35,10.34,149.84,Delivered,34,Home Office,Medium,Office Supplies,Pens
ORDER-66,CUST-186,2024-02-03 15:19:38.378378378,West,PROD-99,168.76,5,0.03,42.39,16.03,7.37,Shipped,42,Corporate,Low,Technology,Phones
ORDER-67,CUST-147,2024-02-04 03:44:51.891891892,South,PROD-12,52.59,7,0.07,10.4,18.53,6.09,Delivered,60,Corporate,High,Furniture,Tables
ORDER-68,CUST-148,2024-02-04 16:10:05.405405405,North,PROD-84,320.29,2,0.0,38.07,46.26,-18.05,Pending,54,Corporate,Medium,Furniture,Chairs
ORDER-69,CUST-122,2024-02-05 04:35:18.918918919,West,PROD-74,370.59,9,0.32,28.92,35.54,-17.19,Shipped,37,Home Office,High,Office Supplies,Paper
ORDER-70,CUST-63,2024-02-05 17:00:32.432432432,East,PROD-30,425.58,9,0.22,17.96,2.38,7.04,Delivered,34,Home Office,Medium,Technology,Copiers
ORDER-71,CUST-122,2024-02-06 05:25:45.945945946,East,PROD-69,70.16,4,0.07,27.18,23.62,108.57,Delivered,37,Home Office,High,Furniture,Tables
ORDER-72,CUST-105,2024-02-06 17:50:59.459459459,West,PROD-95,439.46,4,0.48,18.5,36.84,131.15,Delivered,57,Home Office,Medium,Furniture,Chairs
ORDER-73,CUST-49,2024-02-07 06:16:12.972972973,North,PROD-93,325.03,6,0.26,31.82,11.48,145.02,Shipped,44,Corporate,Low,Office Supplies,Pens
ORDER-74,CUST-25,2024-02-07 18:41:26.486486486,East,PROD-5,354.93,6,0.12,24.52,0.42,-3.54,Shipped,21,Consumer,Low,Technology,Phones
ORDER-75,CUST-25,2024-02-08 07:06:40.000000000,West,PROD-23,456.21,1,0.25,12.4,9.98,126.26,Shipped,21,Consumer,Low,Technology,Accessories
ORDER-76,CUST-169,2024-02-08 19:31:53.513513513,East,PROD-54,316.13,9,0.34,10.25,15.79,15.65,Delivered,47,Consumer,High,Furniture,Tables
ORDER-77,CUST-111,2024-02-09 07:57:07.027027027,West,PROD-23,174.57,2,0.04,29.6,0.22,-27.43,Delivered,46,Consumer,Low,Furniture,Tables
ORDER-78,CUST-91,2024-02-09 20:22:20.540540540,North,PROD-5,414.3,5,0.14,45.61,14.66,124.0,Delivered,57,Consumer,Medium,Furniture,Bookcases
ORDER-79,CUST-109,2024-02-10 08:47:34.054054054,North,PROD-51,187.9,9,0.4,20.48,3.19,77.22,Shipped,65,Consumer,Low,Office Supplies,Pens
ORDER-80,CUST-106,2024-02-10 21:12:47.567567567,South,PROD-64,26.77,4,0.23,37.99,29.68,-17.05,Shipped,50,Consumer,Medium,Furniture,Tables
ORDER-81,CUST-120,2024-02-11 09:38:01.081081081,East,PROD-24,417.02,3,0.27,34.64,0.8,35.97,Shipped,53,Corporate,Medium,Furniture,Bookcases
ORDER-82,CUST-187,2024-02-11 22:03:14.594594595,South,PROD-96,179.14,7,0.22,46.92,16.05,7.45,Pending,57,Home Office,High,Technology,Accessories
ORDER-83,CUST-14,2024-02-12 10:28:28.108108108,North,PROD-38,389.18,6,0.02,41.94,0.02,97.36,Shipped,42,Consumer,Low,Furniture,Bookcases
ORDER-84,CUST-173,2024-02-12 22:53:41.621621622,West,PROD-5,187.75,8,0.08,30.5,2.51,40.68,Delivered,45,Corporate,Medium,Office Supplies,Pens
ORDER-85,CUST-168,2024-02-13 11:18:55.135135135,North,PROD-2,431.92,3,0.22,34.57,9.97,147.86,Delivered,59,Consumer,Low,Furniture,Tables
ORDER-86,CUST-166,2024-02-13 23:44:08.648648649,North,PROD-39,117.56,5,0.1,45.43,2.92,-39.05,Delivered,30,Home Office,High,Technology,Accessories
ORDER-87,CUST-26,2024-02-14 12:09:22.162162162,West,PROD-73,487.53,4,0.02,22.98,2.25,21.0,Delivered,50,Corporate,Medium,Office Supplies,Pens
ORDER-88,CUST-16,2024-02-15 00:34:35.675675676,South,PROD-78,392.08,4,0.42,19.71,3.9,46.38,Pending,35,Consumer,Medium,Furniture,Bookcases
ORDER-89,CUST-104,2024-02-15 12:59:49.189189189,East,PROD-14,65.98,4,0.49,5.49,16.78,50.63,Delivered,34,Corporate,Medium,Technology,Accessories
ORDER-90,CUST-187,2024-02-16 01:25:02.702702703,North,PROD-43,287.23,8,0.4,42.19,1.83,13.19,Pending,57,Home Office,High,Furniture,Tables
ORDER-91,CUST-87,2024-02-16 13:50:16.216216216,North,PROD-37,492.83,6,0.43,41.04,0.76,95.85,Cancelled,42,Corporate,Medium,Office Supplies,Paper
ORDER-92,CUST-28,2024-02-17 02:15:29.729729730,East,PROD-59,240.82,3,0.12,9.7,17.17,124.95,Delivered,38,Corporate,Medium,Office Supplies,Binders
ORDER-93,CUST-64,2024-02-17 14:40:43.243243243,North,PROD-83,99.23,5,0.48,30.96,12.45,137.74,Shipped,61,Consumer,Medium,Furniture,Chairs
ORDER-94,CUST-50,2024-02-18 03:05:56.756756757,East,PROD-70,247.54,6,0.1,25.88,37.27,111.02,Cancelled,51,Consumer,Low,Office Supplies,Pens
ORDER-95,CUST-49,2024-02-18 15:31:10.270270270,East,PROD-68,261.1,5,0.48,10.34,24.63,120.12,Pending,44,Corporate,Low,Technology,Phones
ORDER-96,CUST-138,2024-02-19 03:56:23.783783784,East,PROD-64,373.43,6,0.5,49.13,3.75,60.11,Delivered,68,Corporate,Medium,Office Supplies,Pens
ORDER-97,CUST-115,2024-02-19 16:21:37.297297297,West,PROD-18,352.43,8,0.36,14.66,1.49,115.18,Delivered,67,Corporate,Low,Office Supplies,Paper
ORDER-98,CUST-36,2024-02-20 04:46:50.810810811,South,PROD-65,207.25,7,0.49,8.03,31.92,10.7,Shipped,65,Home Office,Low,Furniture,Tables
ORDER-99,CUST-109,2024-02-20 17:12:04.324324324,South,PROD-60,116.83,5,0.28,31.77,2.91,29.7,Delivered,65,Consumer,Low,Furniture,Tables
ORDER-100,CUST-47,2024-02-21 05:37:17.837837838,West,PROD-35,326.08,6,0.13,38.25,13.65,13.38,Delivered,25,Consumer,Medium,Technology,Phones
ORDER-101,CUST-72,2024-02-21 18:02:31.351351351,South,PROD-25,216.63,4,0.22,6.46,7.64,43.48,Delivered,54,Consumer,Medium,Furniture,Tables
ORDER-102,CUST-119,2024-02-22 06:27:44.864864865,South,PROD-15,74.82,9,0.3,34.64,12.8,7.12,Pending,24,Home Office,High,Furniture,Tables
ORDER-103,CUST-64,2024-02-22 18:52:58.378378379,South,PROD-43,451.28,4,0.04,28.95,1.26,142.32,Cancelled,61,Consumer,Medium,Technology,Accessories
ORDER-104,CUST-20,2024-02-23 07:18:11.891891892,North,PROD-21,348.7,1,0.31,9.65,38.29,12.57,Shipped,52,Consumer,Medium,Furniture,Tables
ORDER-105,CUST-114,2024-02-23 19:43:25.405405406,West,PROD-94,344.76,7,0.49,12.76,5.91,-30.39,Shipped,52,Home Office,Low,Furniture,Tables
ORDER-106,CUST-141,2024-02-24 08:08:38.918918919,South,PROD-59,413.07,7,0.1,30.56,5.73,55.36,Shipped,39,Home Office,High,Office Supplies,Pens
ORDER-107,CUST-26,2024-02-24 20:33:52.432432433,West,PROD-83,269.53,4,0.4,18.34,1.94,-38.58,Pending,50,Corporate,Medium,Technology,Phones
ORDER-108,CUST-13,2024-02-25 08:59:05.945945946,South,PROD-33,409.38,3,0.45,47.22,0.42,-27.89,Shipped,52,Home Office,High,Furniture,Bookcases
ORDER-109,CUST-167,2024-02-25 21:24:19.459459460,South,PROD-92,254.06,8,0.47,41.84,13.02,-6.12,Cancelled,67,Consumer,Medium,Furniture,Chairs
ORDER-110,CUST-139,2024-02-26 09:49:32.972972973,West,PROD-24,42.92,5,0.48,49.26,7.79,42.87,Shipped,42,Consumer,Medium,Furniture,Chairs
ORDER-111,CUST-4,2024-02-26 22:14:46.486486487,East,PROD-2,208.57,7,0.26,16.69,16.05,36.65,Shipped,66,Corporate,Medium,Furniture,Chairs
ORDER-112,CUST-24,2024-02-27 10:40:00.000000000,West,PROD-95,253.76,4,0.49,48.64,2.9,109.94,Shipped,50,Consumer,Medium,Technology,Copiers
ORDER-113,CUST-193,2024-02-27 23:05:13.513513514,East,PROD-44,362.9,4,0.38,24.41,1.38,97.89,Delivered,39,Home Office,Low,Technology,Accessories
ORDER-114,CUST-61,2024-02-28 11:30:27.027027027,North,PROD-38,62.22,8,0.08,20.64,46.9,35.26,Delivered,52,Consumer,Medium,Furniture,Bookcases
ORDER-115,CUST-43,2024-02-28 23:55:40.540540541,West,PROD-73,78.61,8,0.24,7.27,7.87,16.74,Shipped,55,Consumer,Low,Office Supplies,Pens
ORDER-116,CUST-105,2024-02-29 12:20:54.054054054,East,PROD-87,139.21,2,0.36,7.37,18.39,13.29,Pending,57,Home Office,Medium,Furniture,Chairs
ORDER-117,CUST-125,2024-03-01 00:46:07.567567568,South,PROD-97,140.58,2,0.12,36.14,1.55,104.8,Shipped,63,Consumer,Medium,Office Supplies,Paper
ORDER-118,CUST-124,2024-03-01 13:11:21.081081081,North,PROD-25,368.77,3,0.32,25.61,42.12,-39.59,Pending,25,Consumer,Medium,Technology,Copiers
ORDER-119,CUST-55,2024-03-02 01:36:34.594594595,West,PROD-23,132.86,3,0.33,15.19,0.55,-47.44,Shipped,64,Corporate,Medium,Furniture,Chairs
ORDER-120,CUST-103,2024-03-02 14:01:48.108108108,East,PROD-79,320.22,1,0.08,32.63,7.57,109.11,Delivered,43,Consumer,Medium,Furniture,Bookcases
ORDER-121,CUST-16,2024-03-03 02:27:01.621621622,East,PROD-82,252.19,3,0.28,16.38,3.41,45.43,Shipped,35,Consumer,Medium,Technology,Phones
ORDER-122,CUST-43,2024-03-03 14:52:15.135135135,West,PROD-52,290.91,6,0.39,30.99,3.53,-23.82,Delivered,55,Consumer,Low,Furniture,Bookcases
ORDER-123,CUST-98,2024-03-04 03:17:28.648648649,East,PROD-55,420.67,8,0.25,21.16,6.27,-2.89,Shipped,40,Consumer,Low,Furniture,Tables
ORDER-124,CUST-1,2024-03-04 15:42:42.162162162,West,PROD-66,208.15,6,0.01,42.06,24.14,136.5,Cancelled,41,Consumer,High,Furniture,Bookcases
ORDER-125,CUST-100,2024-03-05 04:07:55.675675676,East,PROD-42,387.75,5,0.0,41.93,41.31,121.9,Cancelled,44,Consumer,Medium,Office Supplies,Binders
ORDER-126,CUST-68,2024-03-05 16:33:09.189189189,South,PROD-12,216.8,4,0.18,26.48,5.05,91.96,Delivered,63,Home Office,Low,Furniture,Chairs
ORDER-127,CUST-117,2024-03-06 04:58:22.702702703,West,PROD-52,183.4,3,0.46,20.79,12.02,46.45,Shipped,41,Home Office,Medium,Furniture,Bookcases
ORDER-128,CUST-74,2024-03-06 17:23:36.216216216,West,PROD-86,479.73,4,0.11,21.32,6.6,54.06,Shipped,46,Home Office,Low,Office Supplies,Binders
ORDER-129,CUST-109,2024-03-07 05:48:49.729729730,North,PROD-13,100.34,7,0.32,41.26,13.47,145.05,Delivered,65,Consumer,Low,Furniture,Tables
ORDER-130,CUST-179,2024-03-07 18:14:03.243243244,South,PROD-24,54.27,1,0.11,19.77,14.5,143.15,Delivered,29,Home Office,Medium,Technology,Accessories
ORDER-131,CUST-188,2024-03-08 06:39:16.756756757,West,PROD-18,387.78,7,0.16,14.41,5.19,-6.95,Delivered,62,Corporate,Low,Furniture,Bookcases
ORDER-132,CUST-143,2024-03-08 19:04:30.270270271,East,PROD-62,43.44,1,0.42,8.81,2.99,112.22,Delivered,69,Consumer,Medium,Furniture,Bookcases
ORDER-133,CUST-170,2024-03-09 07:29:43.783783784,East,PROD-42,420.17,2,0.36,26.0,22.28,-10.55,Cancelled,36,Corporate,Medium,Office Supplies,Pens
ORDER-134,CUST-184,2024-03-09 19:54:57.297297298,East,PROD-32,224.22,4,0.05,26.7,0.75,-7.29,Shipped,49,Home Office,Low,Furniture,Tables
ORDER-135,CUST-125,2024-03-10 08:20:10.810810811,North,PROD-1,458.6,1,0.21,42.84,5.81,85.22,Delivered,63,Consumer,Medium,Furniture,Chairs
ORDER-136,CUST-40,2024-03-10 20:45:24.324324325,West,PROD-34,363.55,9,0.01,14.96,13.69,31.0,Pending,39,Consumer,High,Office Supplies,Paper
ORDER-137,CUST-49,2024-03-11 09:10:37.837837838,East,PROD-50,309.1,6,0.24,22.14,39.67,136.31,Shipped,44,Corporate,Low,Furniture,Tables
ORDER-138,CUST-76,2024-03-11 21:35:51.351351352,North,PROD-31,475.16,1,0.33,41.38,17.93,-32.2,Delivered,63,Corporate,Low,Furniture,Bookcases
ORDER-139,CUST-56,2024-03-12 10:01:04.864864865,North,PROD-58,204.36,1,0.06,42.06,26.46,52.31,Shipped,50,Home Office,High,Technology,Accessories
ORDER-140,CUST-15,2024-03-12 22:26:18.378378379,West,PROD-97,477.5,6,0.14,22.31,3.45,133.7,Delivered,46,Consumer,High,Technology,Accessories
ORDER-141,CUST-149,2024-03-13 10:51:31.891891892,East,PROD-35,76.15,4,0.2,25.66,21.89,130.82,Shipped,50,Consumer,Low,Technology,Accessories
ORDER-142,CUST-189,2024-03-13 23:16:45.405405406,South,PROD-43,247.04,4,0.46,18.65,2.64,-18.69,Delivered,18,Corporate,Medium,Furniture,Chairs
ORDER-143,CUST-139,2024-03-14 11:41:58.918918919,East,PROD-39,142.26,6,0.5,46.96,16.77,23.33,Delivered,42,Consumer,Medium,Technology,Copiers
ORDER-144,CUST-16,2024-03-15 00:07:12.432432433,South,PROD-75,274.52,7,0.02,10.34,8.74,73.82,Delivered,35,Consumer,Medium,Technology,Accessories
ORDER-145,CUST-192,2024-03-15 12:32:25.945945946,South,PROD-93,89.39,9,0.38,47.02,1.22,-18.12,Shipped,22,Home Office,High,Technology,Phones
ORDER-146,CUST-81,2024-03-16 00:57:39.459459460,East,PROD-74,422.35,5,0.19,35.77,8.73,143.6,Delivered,38,Home Office,Low,Office Supplies,Binders
ORDER-147,CUST-15,2024-03-16 13:22:52.972972973,South,PROD-2,424.74,9,0.2,28.92,20.5,132.95,Delivered,46,Consumer,High,Furniture,Bookcases
ORDER-148,CUST-13,2024-03-17 01:48:06.486486487,North,PROD-34,478.07,4,0.38,6.47,7.7,-16.61,Delivered,52,Home Office,High,Furniture,Chairs
ORDER-149,CUST-150,2024-03-17 14:13:20.000000000,North,PROD-84,85.79,2,0.46,26.4,1.97,-25.77,Pending,25,Consumer,Low,Technology,Copiers
ORDER-150,CUST-123,2024-03-18 02:38:33.513513514,East,PROD-47,315.43,3,0.48,23.35,0.08,-32.92,Delivered,18,Consumer,Low,Technology,Copiers
ORDER-151,CUST-129,2024-03-18 15:03:47.027027027,West,PROD-89,242.38,1,0.29,12.25,7.84,131.89,Delivered,68,Consumer,Medium,Furniture,Chairs
ORDER-152,CUST-136,2024-03-19 03:29:00.540540541,North,PROD-31,178.75,6,0.18,34.54,4.94,-11.28,Delivered,40,Consumer,Medium,Furniture,Bookcases
ORDER-153,CUST-41,2024-03-19 15:54:14.054054054,East,PROD-8,182.25,6,0.39,48.7,10.77,33.26,Delivered,63,Consumer,Medium,Furniture,Bookcases
ORDER-154,CUST-15,2024-03-20 04:19:27.567567568,South,PROD-86,212.27,1,0.13,30.3,5.23,39.77,Delivered,46,Consumer,High,Furniture,Bookcases
ORDER-155,CUST-131,2024-03-20 16:44:41.081081081,North,PROD-16,355.41,3,0.28,37.16,12.74,69.8,Shipped,32,Consumer,High,Furniture,Bookcases
ORDER-156,CUST-21,2024-03-21 05:09:54.594594595,East,PROD-60,303.16,5,0.18,8.08,2.8,-35.65,Pending,33,Corporate,Medium,Technology,Phones
ORDER-157,CUST-48,2024-03-21 17:35:08.108108108,East,PROD-40,235.24,3,0.33,23.8,8.8,-4.65,Shipped,44,Corporate,Low,Office Supplies,Binders
ORDER-158,CUST-18,2024-03-22 06:00:21.621621622,West,PROD-21,47.21,3,0.12,10.24,18.33,136.3,Delivered,35,Corporate,Medium,Furniture,Chairs
ORDER-159,CUST-153,2024-03-22 18:25:35.135135135,South,PROD-52,48.11,3,0.1,32.58,33.12,131.68,Delivered,22,Consumer,Low,Technology,Copiers
ORDER-160,CUST-18,2024-03-23 06:50:48.648648649,South,PROD-88,11.15,5,0.46,47.23,14.84,106.26,Shipped,35,Corporate,Medium,Technology,Copiers
ORDER-161,CUST-173,2024-03-23 19:16:02.162162162,South,PROD-65,484.17,5,0.05,34.78,13.14,-46.12,Delivered,45,Corporate,Medium,Furniture,Tables
ORDER-162,CUST-61,2024-03-24 07:41:15.675675676,East,PROD-91,12.57,4,0.25,8.46,7.36,15.4,Delivered,52,Consumer,Medium,Furniture,Bookcases
